P	W	L	S	E	B	P_D4	W_D4	L_D1	S_D1
-1.504976269	-1.495014171	0.637185465	0.483298207	8.474212038	1.908491661	0.00373577	-1.835875174	-0.067294792	-0.000735629
0.59212249	4.067503295	0.759253088	0.566043262	-8.992566381	-0.901511812	0.097452501	-2.197420994	0.122067623	0.082745055
0.399301131	35.74154105	0.785916241	0.579481824	-16.47744596	0.288600489	0.200000467	-1.625374309	0.026663153	0.013438562
1.388160908	-25.55530698	0.717164433	0.489427792	9.687298375	0.765553978	1.303139961	1.928905028	-0.068751808	-0.090054032
-2.109919884	-1.832554096	0.751806566	0.556509721	-2.434027504	0.475512071	-0.604943615	-0.337539925	0.034642133	0.067081929
1.389164278	2.625831301	0.825446533	0.811679753	-8.888542985	-1.375642633	0.797041788	-1.441671994	0.073639968	0.255170032
2.48921439	37.07349295	0.939835708	0.529527214	5.806928516	0.076923081	2.089913259	1.331951904	0.114389174	-0.28215254
1.193344635	-26.12741085	0.943037825	0.466078295	16.18241954	-1.228195894	-0.194816274	-0.572103868	0.003202117	-0.063448918
-0.303757376	1.126772485	1.061707965	0.603531028	-22.81603782	-1.915673298	1.806162508	2.959326581	0.11867014	0.137452732
1.59135511	2.353049741	1.249878804	0.548929184	0.085985732	0.049581041	0.202190833	-0.27278156	0.18817084	-0.054601844
-0.200500869	34.58090094	1.156149452	0.474444435	-10.28633951	-0.039662866	-2.689715259	-2.492592014	-0.093729352	-0.074484749
1.478124515	-24.14613183	1.035937127	0.362361154	-7.26799819	2.748742529	0.284779881	1.981279012	-0.120212326	-0.112083281
-1.303868339	-1.840848002	0.896337801	0.276416234	-8.822209151	4.231836571	-1.000110963	-2.967620487	-0.139599326	-0.08594492
0.89736164	4.131396487	0.797251583	0.284623622	8.122066518	2.880782621	-0.69399347	1.778346746	-0.099086218	0.008207388
0.497953352	36.99090763	0.768467211	0.373693101	0.755433664	0.903526297	0.698454221	2.410006691	-0.028784372	0.08906948
0.886302213	-25.87595196	0.727802514	0.401877511	13.31520847	1.142262386	-0.591822303	-1.729820123	-0.040664697	0.02818441
-0.401503949	-1.981124988	0.792674467	0.518584028	31.97744835	-0.361632147	0.902364389	-0.140276986	0.064871954	0.116706517
0.497854147	3.60613402	0.739528302	0.569953407	2.019352139	1.185836725	-0.399507493	-0.525262467	-0.053146165	0.051369378
1.789791448	38.85681175	0.746299079	0.401754504	37.70132957	0.609386407	1.291838096	1.865904122	0.006770776	-0.168198902
1.392143557	-23.94901214	0.842420768	0.485774741	24.66255563	-0.130270547	0.505841344	1.926939816	0.096121689	0.084020236
0.598702992	-0.91777443	1.093698743	0.701952372	20.28315679	-3.169543622	1.000206941	1.063350558	0.251277975	0.216177632
2.388382122	4.153720983	1.074427765	0.492124333	37.7360209	0.608122067	1.890527975	0.547586964	-0.019270979	-0.209828039
1.992145357	36.85272993	1.082544932	0.641693669	-2.851975994	0.52465551	0.202353909	-2.004081824	0.008117167	0.149569336
3.057170268	-23.26106411	0.992870546	0.710555857	-39.36563117	3.870889876	1.665026711	0.687948028	-0.089674386	0.068862188
-0.501052374	-1.571894477	1.103484149	0.810663276	-25.17118055	-2.304507973	-1.099755365	-0.654120047	0.110613603	0.100107419
-0.0001	5.076766607	0.912034693	0.799576146	-19.09688683	5.891284277	-2.388482122	0.923045624	-0.191449456	-0.01108713
-1.303868339	33.11544951	0.685052733	0.250094869	-21.30804587	7.902904853	-3.296013696	-3.737280414	-0.22698196	-0.549481277
0.595523235	-24.6157969	0.792044746	0.234397712	28.56245258	-2.183862262	-2.461647033	-1.354732787	0.106992013	-0.015697157
-1.001905351	-2.201542706	0.811752357	0.30382135	22.71177268	0.240711379	-0.500852978	-0.629648229	0.019707612	0.069423638
0.897956278	5.395669106	0.866629001	0.460728387	-4.923857958	-0.856769786	0.898056278	0.318902498	0.054876644	0.156907036
1.19453395	30.81632925	0.897085495	0.388958473	18.1014982	0.631605671	2.498402289	-2.299120261	0.030456494	-0.071769914
1.088602761	-21.65861508	0.856218951	0.399294238	-3.928267675	2.107446093	0.493079525	2.957181824	-0.040866544	0.010335765
-0.502057	-2.190359822	0.807565184	0.646566488	-25.07210944	1.668026145	0.499848352	0.011182884	-0.048653767	0.24727225
1.595616462	7.597081949	0.816640539	0.703945533	14.22027945	0.723424865	0.697660184	2.201412844	0.009075355	0.057379045
2.290309529	27.42625386	0.953459922	1.536783052	6.720927495	-2.841507073	1.095775579	-3.390075394	0.136819383	0.832837519
1.987689905	-19.12341625	0.961303716	0.702535753	2.366403046	0.988977251	0.899087144	2.535198825	0.007843794	-0.834247299
0.499450965	-1.188973667	0.953844951	1.600178249	-5.205159672	0.626346235	1.001507964	1.001386155	-0.007458765	0.897642497
1.2970592	6.300889179	0.947635637	1.222134943	-15.16173152	0.764392211	-0.298557262	-1.29619277	-0.006209315	-0.378043306
0.199300664	26.39904127	0.840970429	1.529729208	-9.496773831	4.288928509	-2.091008864	-1.027212591	-0.106665208	0.307594265
1.588611482	-17.8233206	0.860132286	0.849888681	3.207850546	0.449567247	-0.399078422	1.300095656	0.019161857	-0.679840526
-1.002308168	-3.92280756	0.81843102	1.006946162	0.910750658	2.120469715	-1.501759133	-2.733833893	-0.041701266	0.157057481
0.997708099	4.674621864	0.849743695	0.751103034	-6.126544417	-0.328155295	-0.299351101	-1.626267315	0.031312675	-0.255843129
0.796716965	28.14745004	0.878507103	1.121943969	6.881153851	0.44658507	0.597416301	1.748408771	0.028763409	0.370840936
